NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-02-10 11:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 12:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 13:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
